date,rank,team,score
2018-05-14,24,Windigo,77
2018-05-14,25,MVP PK,76
2018-05-14,26,Fragsters,74
2018-05-14,27,BIG,69
2018-05-14,28,Valiance,69
2018-05-14,29,Imperial,67
2018-05-14,30,Spirit,60
2018-05-07,1,Astralis,971
2018-05-07,2,FaZe,839
2018-05-07,3,mousesports,639
2018-05-07,4,Natus Vincere,620
2018-05-07,5,fnatic,604
2018-05-07,6,Cloud9,430
2018-05-07,7,SK,331
2018-05-07,8,NiP,328
2018-05-07,9,Liquid,321
2018-05-07,10,Gambit,264
2018-05-07,11,G2,242
2018-05-07,12,Renegades,228
2018-05-07,13,TYLOO,210
2018-05-07,14,North,174
2018-05-07,15,Virtus.pro,160
2018-05-07,16,HellRaisers,154
2018-05-07,17,Space Soldiers,150
2018-05-07,18,NRG,132
2018-05-07,19,GODSENT,115
2018-05-07,20,Heroic,105
2018-05-07,21,AGO,93
2018-05-07,22,Envy,83
2018-05-07,23,MVP PK,82
2018-05-07,24,Grayhound,76
2018-05-07,25,Fragsters,71
2018-05-07,26,Imperial,69
2018-05-07,27,Valiance,64
2018-05-07,28,Windigo,59
2018-05-07,29,ORDER,53
2018-05-07,30,Rogue,50
2018-04-30,1,Astralis,1000
2018-04-30,2,Natus Vincere,747
2018-04-30,3,fnatic,709
2018-04-30,4,FaZe,697
2018-04-30,5,mousesports,674
2018-04-30,6,Cloud9,508
2018-04-30,7,SK,427
2018-04-30,8,NiP,418
2018-04-30,9,Liquid,399
2018-04-30,10,Gambit,342
2018-04-30,11,G2,255
2018-04-30,12,North,225
2018-04-30,13,Virtus.pro,207
2018-04-30,14,Space Soldiers,204
2018-04-30,15,HellRaisers,195
2018-04-30,16,Renegades,192
2018-04-30,17,GODSENT,158
2018-04-30,18,NRG,154
2018-04-30,19,Heroic,135
2018-04-30,20,AGO,116
2018-04-30,21,Imperial,108
2018-04-30,22,TYLOO,106
2018-04-30,23,Envy,105
2018-04-30,24,Fragsters,87
2018-04-30,25,Windigo,86
2018-04-30,26,Valiance,81
2018-04-30,27,MVP PK,79
2018-04-30,28,Rogue,65
2018-04-30,29,BIG,63
2018-04-30,30,Quantum Bellator Fire,61
2018-04-23,1,Astralis,983
2018-04-23,2,fnatic,760
2018-04-23,3,FaZe,758
2018-04-23,4,Natus Vincere,739
2018-04-23,5,mousesports,670
2018-04-23,6,Cloud9,598
2018-04-23,7,SK,461
2018-04-23,8,Liquid,410
2018-04-23,9,NiP,409
2018-04-23,10,Gambit,335
2018-04-23,11,G2,261
2018-04-23,12,North,218
2018-04-23,13,Virtus.pro,194
2018-04-23,14,Space Soldiers,194
2018-04-23,15,Renegades,188
2018-04-23,16,HellRaisers,175
2018-04-23,17,Heroic,148
2018-04-23,18,NRG,111
2018-04-23,19,GODSENT,100
2018-04-23,20,Envy,96
2018-04-23,21,Imperial,95
2018-04-23,22,Quantum Bellator Fire,94
2018-04-23,23,AGO,88
2018-04-23,24,Fragsters,81
2018-04-23,25,TYLOO,76
2018-04-23,26,Windigo,76
2018-04-23,27,MVP PK,70
2018-04-23,28,BIG,66
2018-04-23,29,Spirit,58
2018-04-23,30,Valiance,57
2018-04-16,1,FaZe,881
2018-04-16,2,mousesports,799
2018-04-16,3,fnatic,791
2018-04-16,4,Cloud9,652
2018-04-16,5,Astralis,634
2018-04-16,6,Natus Vincere,620
2018-04-16,7,Liquid,586
2018-04-16,8,SK,584
2018-04-16,9,G2,372
2018-04-16,10,NiP,360
2018-04-16,11,North,291
2018-04-16,12,Space Soldiers,276
2018-04-16,13,Virtus.pro,254
2018-04-16,14,HellRaisers,249
2018-04-16,15,Renegades,244
2018-04-16,16,Heroic,205
2018-04-16,17,Gambit,183
2018-04-16,18,NRG,156
2018-04-16,19,GODSENT,133
2018-04-16,20,Imperial,129
2018-04-16,21,AGO,123
2018-04-16,22,Quantum Bellator Fire,119
2018-04-16,23,Fragsters,111
2018-04-16,24,Windigo,106
2018-04-16,25,TYLOO,99
2018-04-16,26,BIG,96
2018-04-16,27,MVP PK,90
2018-04-16,28,Spirit,88
2018-04-16,29,Envy,76
2018-04-16,30,TeamOne,75
2018-04-09,1,FaZe,877
2018-04-09,2,mousesports,810
2018-04-09,3,fnatic,782
2018-04-09,4,Astralis,651
2018-04-09,5,Natus Vincere,615
2018-04-09,6,Liquid,601
2018-04-09,7,SK,592
2018-04-09,8,Cloud9,527
2018-04-09,9,G2,378
2018-04-09,10,NiP,371
2018-04-09,11,North,279
2018-04-09,12,Virtus.pro,257
2018-04-09,13,Space Soldiers,257
2018-04-09,14,HellRaisers,253
2018-04-09,15,Renegades,244
2018-04-09,16,Heroic,208
2018-04-09,17,Gambit,185
2018-04-09,18,NRG,145
2018-04-09,19,Imperial,132
2018-04-09,20,Quantum Bellator Fire,129
2018-04-09,21,AGO,122
2018-04-09,22,GODSENT,116
2018-04-09,23,Fragsters,105
2018-04-09,24,TYLOO,102
2018-04-09,25,Windigo,96
2018-04-09,26,Vega Squadron,91
2018-04-09,27,MVP PK,87
2018-04-09,28,Spirit,85
2018-04-09,29,TeamOne,81
2018-04-09,30,BIG,80
2018-04-02,1,FaZe,871
2018-04-02,2,mousesports,786
2018-04-02,3,fnatic,762
2018-04-02,4,Liquid,717
2018-04-02,5,Astralis,626
2018-04-02,6,Natus Vincere,608
2018-04-02,7,SK,591
2018-04-02,8,Cloud9,513
2018-04-02,9,G2,367
2018-04-02,10,NiP,332
2018-04-02,11,Virtus.pro,237
2018-04-02,12,Renegades,237
2018-04-02,13,Space Soldiers,227
2018-04-02,14,North,225
2018-04-02,15,Heroic,203
2018-04-02,16,Gambit,180
2018-04-02,17,HellRaisers,159
2018-04-02,18,Quantum Bellator Fire,125
2018-04-02,19,Imperial,123
2018-04-02,20,NRG,116
2018-04-02,21,AGO,106
2018-04-02,22,TYLOO,96
2018-04-02,23,GODSENT,94
2018-04-02,24,Vega Squadron,89
2018-04-02,25,Windigo,83
2018-04-02,26,MVP PK,80
2018-04-02,27,BIG,80
2018-04-02,28,TeamOne,77
2018-04-02,29,Spirit,76
2018-04-02,30,AVANGAR,66
2018-03-26,1,FaZe,893
2018-03-26,2,Cloud9,694
2018-03-26,3,mousesports,687
2018-03-26,4,fnatic,672
2018-03-26,5,Liquid,650
2018-03-26,6,Natus Vincere,543
2018-03-26,7,Astralis,540
2018-03-26,8,SK,508
2018-03-26,9,G2,321
2018-03-26,10,NiP,294
2018-03-26,11,Renegades,215
2018-03-26,12,Space Soldiers,201
2018-03-26,13,Virtus.pro,198
2018-03-26,14,North,186
2018-03-26,15,Heroic,179
2018-03-26,16,Gambit,161
2018-03-26,17,HellRaisers,157
2018-03-26,18,Quantum Bellator Fire,123
2018-03-26,19,AGO,96
2018-03-26,20,TYLOO,92
2018-03-26,21,NRG,85
2018-03-26,22,Vega Squadron,81
2018-03-26,23,GODSENT,79
2018-03-26,24,TeamOne,73
2018-03-26,25,Spirit,70
2018-03-26,26,BIG,69
2018-03-26,27,AVANGAR,64
2018-03-26,28,Torqued,60
2018-03-26,29,MVP PK,55
2018-03-26,30,Envy,44
2018-03-19,1,FaZe,903
2018-03-19,2,Cloud9,749
2018-03-19,3,fnatic,666
2018-03-19,4,Liquid,643
2018-03-19,5,SK,634
2018-03-19,6,mousesports,605
2018-03-19,7,Natus Vincere,534
2018-03-19,8,Astralis,509
2018-03-19,9,G2,314
2018-03-19,10,NiP,293
2018-03-19,11,Renegades,210
2018-03-19,12,Space Soldiers,184
2018-03-19,13,Heroic,184
2018-03-19,14,North,175
2018-03-19,15,Gambit,165
2018-03-19,16,Quantum Bellator Fire,128
2018-03-19,17,HellRaisers,113
2018-03-19,18,Virtus.pro,112
2018-03-19,19,Vega Squadron,88
2018-03-19,20,TeamOne,82
2018-03-19,21,AGO,81
2018-03-19,22,GODSENT,76
2018-03-19,23,BIG,70
2018-03-19,24,TYLOO,64
2018-03-19,25,NRG,64
2018-03-19,26,AVANGAR,63
2018-03-19,27,Torqued,59
2018-03-19,28,Spirit,55
2018-03-19,29,MVP PK,45
2018-03-19,30,Envy,44
2018-03-12,1,FaZe,934
2018-03-12,2,Cloud9,704
2018-03-12,3,SK,645
2018-03-12,4,mousesports,610
2018-03-12,5,Liquid,589
2018-03-12,6,fnatic,587
2018-03-12,7,Natus Vincere,516
2018-03-12,8,Astralis,480
2018-03-12,9,G2,368
2018-03-12,10,NiP,281
2018-03-12,11,Renegades,204
2018-03-12,12,Heroic,178
2018-03-12,13,North,172
2018-03-12,14,Gambit,166
2018-03-12,15,Quantum Bellator Fire,144
2018-03-12,16,Space Soldiers,128
2018-03-12,17,HellRaisers,114
2018-03-12,18,Virtus.pro,107
2018-03-12,19,Vega Squadron,94
2018-03-12,20,AGO,73
2018-03-12,21,AVANGAR,70
2018-03-12,22,TYLOO,66
2018-03-12,23,Spirit,60
2018-03-12,24,BIG,60
2018-03-12,25,Torqued,56
2018-03-12,26,GODSENT,54
2018-03-12,27,Envy,41
2018-03-12,28,Luminosity,39
2018-03-12,29,NRG,39
2018-03-12,30,Windigo,39
2018-03-05,1,FaZe,937
2018-03-05,2,SK,726
2018-03-05,3,Cloud9,706
2018-03-05,4,mousesports,597
2018-03-05,5,fnatic,592
2018-03-05,6,Liquid,558
2018-03-05,7,Natus Vincere,503
2018-03-05,8,Astralis,461
2018-03-05,9,G2,383
2018-03-05,10,NiP,260
2018-03-05,11,Renegades,201
2018-03-05,12,Heroic,176
2018-03-05,13,North,163
2018-03-05,14,Gambit,157
2018-03-05,15,HellRaisers,135
2018-03-05,16,Quantum Bellator Fire,132
2018-03-05,17,Space Soldiers,122
2018-03-05,18,Virtus.pro,102
2018-03-05,19,Vega Squadron,102
2018-03-05,20,AGO,74
2018-03-05,21,AVANGAR,67
2018-03-05,22,TYLOO,63
2018-03-05,23,Spirit,58
2018-03-05,24,BIG,58
2018-03-05,25,NRG,55
2018-03-05,26,Luminosity,53
2018-03-05,27,Torqued,52
2018-03-05,28,Envy,44
2018-03-05,29,GODSENT,38
2018-03-05,30,Epsilon,34
2018-02-26,1,FaZe,928
2018-02-26,2,SK,824
2018-02-26,3,Cloud9,723
2018-02-26,4,mousesports,664
2018-02-26,5,Natus Vincere,562
2018-02-26,6,Liquid,517
2018-02-26,7,G2,450
2018-02-26,8,Astralis,375
2018-02-26,9,fnatic,322
2018-02-26,10,Renegades,216
2018-02-26,11,Heroic,178
2018-02-26,12,Gambit,165
2018-02-26,13,NiP,161
2018-02-26,14,HellRaisers,146
2018-02-26,15,Space Soldiers,146
2018-02-26,16,Quantum Bellator Fire,146
2018-02-26,17,North,131
2018-02-26,18,Virtus.pro,118
2018-02-26,19,Vega Squadron,118
2018-02-26,20,AGO,107
2018-02-26,21,AVANGAR,72
2018-02-26,22,TYLOO,69
2018-02-26,23,Envy,62
2018-02-26,24,NRG,61
2018-02-26,25,Luminosity,60
2018-02-26,26,Torqued,59
2018-02-26,27,Spirit,59
2018-02-26,28,BIG,58
2018-02-26,29,GODSENT,52
2018-02-26,30,Sprout,38
2018-02-19,1,FaZe,928
2018-02-19,2,SK,886
2018-02-19,3,Cloud9,751
2018-02-19,4,G2,391
2018-02-19,5,Astralis,367
2018-02-19,6,mousesports,365
2018-02-19,7,Natus Vincere,338
2018-02-19,8,Liquid,331
2018-02-19,9,fnatic,325
2018-02-19,10,NiP,295
2018-02-19,11,Gambit,177
2018-02-19,12,Heroic,161
2018-02-19,13,North,158
2018-02-19,14,Quantum Bellator Fire,156
2018-02-19,15,Space Soldiers,131
2018-02-19,16,Renegades,121
2018-02-19,17,HellRaisers,120
2018-02-19,18,Vega Squadron,120
2018-02-19,19,Virtus.pro,119
2018-02-19,20,AGO,80
2018-02-19,21,AVANGAR,75
2018-02-19,22,Envy,71
2018-02-19,23,Torqued,59
2018-02-19,24,TYLOO,58
2018-02-19,25,Luminosity,57
2018-02-19,26,NRG,55
2018-02-19,27,GODSENT,47
2018-02-19,28,BIG,44
2018-02-19,29,Sprout,39
2018-02-19,30,Epsilon,33
2018-02-12,1,FaZe,919
2018-02-12,2,SK,866
2018-02-12,3,Cloud9,745
2018-02-12,4,G2,378
2018-02-12,5,fnatic,339
2018-02-12,6,NiP,335
2018-02-12,7,Astralis,325
2018-02-12,8,mousesports,323
2018-02-12,9,Liquid,314
2018-02-12,10,Natus Vincere,300
2018-02-12,11,Gambit,171
2018-02-12,12,Heroic,170
2018-02-12,13,North,156
2018-02-12,14,Quantum Bellator Fire,153
2018-02-12,15,Space Soldiers,127
2018-02-12,16,Vega Squadron,123
2018-02-12,17,Virtus.pro,110
2018-02-12,18,Renegades,108
2018-02-12,19,HellRaisers,100
2018-02-12,20,AGO,78
2018-02-12,21,AVANGAR,73
2018-02-12,22,Envy,71
2018-02-12,23,Torqued,55
2018-02-12,24,NRG,45
2018-02-12,25,BIG,45
2018-02-12,26,Sprout,43
2018-02-12,27,Luminosity,42
2018-02-12,28,GODSENT,39
2018-02-12,29,Epsilon,38
2018-02-12,30,TYLOO,32
2018-02-05,1,FaZe,980
2018-02-05,2,SK,843
2018-02-05,3,Cloud9,681
2018-02-05,4,G2,395
2018-02-05,5,mousesports,388
2018-02-05,6,fnatic,360
2018-02-05,7,Astralis,350
2018-02-05,8,NiP,325
2018-02-05,9,Natus Vincere,317
2018-02-05,10,Gambit,194
2018-02-05,11,Liquid,170
2018-02-05,12,Quantum Bellator Fire,163
2018-02-05,13,OpTic,150
2018-02-05,14,Vega Squadron,144
2018-02-05,15,Space Soldiers,140
2018-02-05,16,North,140
2018-02-05,17,Renegades,137
2018-02-05,18,Virtus.pro,132
2018-02-05,19,Misfits,119
2018-02-05,20,Heroic,115
2018-02-05,21,HellRaisers,105
2018-02-05,22,AGO,96
2018-02-05,23,Envy,89
2018-02-05,24,AVANGAR,68
2018-02-05,25,Windigo,49
2018-02-05,26,Luminosity,46
2018-02-05,27,BIG,46
2018-02-05,28,Sprout,45
2018-02-05,29,NRG,42
2018-02-05,30,Spirit,41
2018-01-29,1,SK,916
2018-01-29,2,FaZe,914
2018-01-29,3,Cloud9,609
2018-01-29,4,G2,408
2018-01-29,5,Astralis,407
2018-01-29,6,fnatic,358
2018-01-29,7,mousesports,350
2018-01-29,8,NiP,332
2018-01-29,9,Natus Vincere,287
2018-01-29,10,Virtus.pro,204
2018-01-29,11,Gambit,190
2018-01-29,12,North,171
2018-01-29,13,OpTic,159
2018-01-29,14,Liquid,145
2018-01-29,15,Misfits,140
2018-01-29,16,Quantum Bellator Fire,130
2018-01-29,17,Vega Squadron,121
2018-01-29,18,Space Soldiers,119
2018-01-29,19,Renegades,114
2018-01-29,20,Envy,109
2018-01-29,21,HellRaisers,99
2018-01-29,22,Heroic,82
2018-01-29,23,AGO,80
2018-01-29,24,BIG,75
2018-01-29,25,NRG,74
2018-01-29,26,Luminosity,62
2018-01-29,27,AVANGAR,56
2018-01-29,28,Sprout,43
2018-01-29,29,Windigo,41
2018-01-29,30,TYLOO,37
2018-01-23,1,SK,967
2018-01-23,2,FaZe,867
2018-01-23,3,Astralis,461
2018-01-23,4,G2,417
2018-01-23,5,Cloud9,372
2018-01-23,6,NiP,367
2018-01-23,7,mousesports,351
2018-01-23,8,fnatic,345
2018-01-23,9,Virtus.pro,240
2018-01-23,10,North,236
2018-01-23,11,Natus Vincere,219
2018-01-23,12,Gambit,207
2018-01-23,13,OpTic,176
2018-01-23,14,Liquid,158
2018-01-23,15,Misfits,154
2018-01-23,16,Envy,128
2018-01-23,17,Renegades,128
2018-01-23,18,Space Soldiers,117
2018-01-23,19,Vega Squadron,115
2018-01-23,20,HellRaisers,108
2018-01-23,21,AGO,98
2018-01-23,22,Heroic,91
2018-01-23,23,NRG,80
2018-01-23,24,BIG,76
2018-01-23,25,Quantum Bellator Fire,75
2018-01-23,26,Luminosity,68
2018-01-23,27,AVANGAR,57
2018-01-23,28,Windigo,49
2018-01-23,29,Sprout,46
2018-01-23,30,TYLOO,43
2018-01-16,1,SK,1000
2018-01-16,2,FaZe,837
2018-01-16,3,Astralis,497
2018-01-16,4,NiP,393
2018-01-16,5,G2,358
2018-01-16,6,Cloud9,354
2018-01-16,7,mousesports,335
2018-01-16,8,fnatic,327
2018-01-16,9,North,246
2018-01-16,10,Virtus.pro,245
2018-01-16,11,Natus Vincere,215
2018-01-16,12,Gambit,196
2018-01-16,13,Misfits,175
2018-01-16,14,OpTic,174
2018-01-16,15,Liquid,156
2018-01-16,16,HellRaisers,128
2018-01-16,17,Envy,123
2018-01-16,18,Renegades,122
2018-01-16,19,Space Soldiers,116
2018-01-16,20,Vega Squadron,113
2018-01-16,21,AGO,109
2018-01-16,22,Heroic,100
2018-01-16,23,NRG,91
2018-01-16,24,BIG,82
2018-01-16,25,Luminosity,69
2018-01-16,26,GODSENT,63
2018-01-16,27,AVANGAR,60
2018-01-16,28,Quantum Bellator Fire,50
2018-01-16,29,Sprout,45
2018-01-16,30,100 Thieves,44
2018-01-08,1,SK,998
2018-01-08,2,FaZe,946
2018-01-08,3,Astralis,570
2018-01-08,4,NiP,482
2018-01-08,5,Cloud9,400
2018-01-08,6,fnatic,346
2018-01-08,7,G2,346
2018-01-08,8,mousesports,326
2018-01-08,9,North,286
2018-01-08,10,Virtus.pro,239
2018-01-08,11,Gambit,222
2018-01-08,12,OpTic,202
2018-01-08,13,Misfits,193
2018-01-08,14,Natus Vincere,186
2018-01-08,15,Envy,157
2018-01-08,16,Heroic,148
2018-01-08,17,Liquid,146
2018-01-08,18,AGO,129
2018-01-08,19,HellRaisers,128
2018-01-08,20,Renegades,123
2018-01-08,21,NRG,100
2018-01-08,22,BIG,85
2018-01-08,23,Space Soldiers,79
2018-01-08,24,Vega Squadron,66
2018-01-08,25,GODSENT,63
2018-01-08,26,Luminosity,62
2018-01-08,27,100 Thieves,45
2018-01-08,28,Grayhound,44
2018-01-08,29,Sprout,43
2018-01-08,30,Valiance,42
2018-01-01,1,SK,994
2018-01-01,2,FaZe,944
2018-01-01,3,Astralis,580
2018-01-01,4,NiP,481
2018-01-01,5,Cloud9,395
2018-01-01,6,fnatic,372
2018-01-01,7,G2,354
2018-01-01,8,mousesports,328
2018-01-01,9,North,306
2018-01-01,10,Virtus.pro,252
2018-01-01,11,OpTic,220
2018-01-01,12,Gambit,209
2018-01-01,13,Misfits,185
2018-01-01,14,Natus Vincere,181
2018-01-01,15,Envy,170
2018-01-01,16,Liquid,161
2018-01-01,17,Heroic,153
2018-01-01,18,Renegades,150
2018-01-01,19,HellRaisers,137
2018-01-01,20,NRG,107
2018-01-01,21,AGO,105
2018-01-01,22,BIG,78
2018-01-01,23,Luminosity,74
2018-01-01,24,Space Soldiers,73
2018-01-01,25,Vega Squadron,61
2018-01-01,26,GODSENT,54
2018-01-01,27,Sprout,47
2018-01-01,28,100 Thieves,46
2018-01-01,29,Grayhound,43
2018-01-01,30,TYLOO,42
2017-12-25,1,SK,980
2017-12-25,2,FaZe,943
2017-12-25,3,Astralis,582
2017-12-25,4,NiP,498
2017-12-25,5,Cloud9,410
2017-12-25,6,fnatic,378
2017-12-25,7,G2,353
2017-12-25,8,mousesports,325
2017-12-25,9,North,307
2017-12-25,10,Virtus.pro,267
2017-12-25,11,OpTic,229
2017-12-25,12,Gambit,211
2017-12-25,13,Misfits,211
2017-12-25,14,Envy,187
2017-12-25,15,Renegades,185
2017-12-25,16,Natus Vincere,184
2017-12-25,17,Liquid,173
2017-12-25,18,HellRaisers,158
2017-12-25,19,Heroic,153
2017-12-25,20,AGO,114
2017-12-25,21,NRG,101
2017-12-25,22,Space Soldiers,99
2017-12-25,23,Luminosity,83
2017-12-25,24,BIG,80
2017-12-25,25,Vega Squadron,59
2017-12-25,26,GODSENT,55
2017-12-25,27,Sprout,49
2017-12-25,28,compLexity,48
2017-12-25,29,100 Thieves,46
2017-12-25,30,Valiance,46
2017-12-18,1,SK,1000
2017-12-18,2,FaZe,917
2017-12-18,3,Astralis,592
2017-12-18,4,NiP,459
2017-12-18,5,Cloud9,406
2017-12-18,6,G2,396
2017-12-18,7,fnatic,377
2017-12-18,8,North,310
2017-12-18,9,mousesports,307
2017-12-18,10,Virtus.pro,303
2017-12-18,11,OpTic,218
2017-12-18,12,Gambit,203
2017-12-18,13,Misfits,192
2017-12-18,14,Renegades,181
2017-12-18,15,Envy,175
2017-12-18,16,Natus Vincere,170
2017-12-18,17,Liquid,169
2017-12-18,18,HellRaisers,143
2017-12-18,19,Heroic,135
2017-12-18,20,AGO,102
2017-12-18,21,Space Soldiers,97
2017-12-18,22,NRG,89
2017-12-18,23,Luminosity,79
2017-12-18,24,BIG,76
2017-12-18,25,Vega Squadron,51
2017-12-18,26,100 Thieves,47
2017-12-18,27,compLexity,43
2017-12-18,28,GODSENT,42
2017-12-18,29,Sprout,42
2017-12-18,30,Kinguin,41
2017-12-11,1,SK,1000
2017-12-11,2,FaZe,817
2017-12-11,3,Astralis,549
2017-12-11,4,NiP,450
2017-12-11,5,Cloud9,405
2017-12-11,6,G2,401
2017-12-11,7,North,317
2017-12-11,8,fnatic,314
2017-12-11,9,Virtus.pro,305
2017-12-11,10,Liquid,209
2017-12-11,11,Gambit,206
2017-12-11,12,OpTic,194
2017-12-11,13,Misfits,188
2017-12-11,14,Renegades,185
2017-12-11,15,mousesports,175
2017-12-11,16,Natus Vincere,172
2017-12-11,17,Envy,169
2017-12-11,18,HellRaisers,142
2017-12-11,19,Heroic,133
2017-12-11,20,Space Soldiers,94
2017-12-11,21,AGO,93
2017-12-11,22,NRG,89
2017-12-11,23,BIG,89
2017-12-11,24,Luminosity,77
2017-12-11,25,Vega Squadron,50
2017-12-11,26,LDLC,48
2017-12-11,27,100 Thieves,48
2017-12-11,28,GODSENT,47
2017-12-11,29,compLexity,46
2017-12-11,30,Kinguin,44
2017-12-04,1,SK,976
2017-12-04,2,FaZe,904
2017-12-04,3,Astralis,715
2017-12-04,4,NiP,561
2017-12-04,5,Cloud9,510
2017-12-04,6,G2,490
2017-12-04,7,North,417
2017-12-04,8,Virtus.pro,381
2017-12-04,9,mousesports,280
2017-12-04,10,Liquid,269
2017-12-04,11,Gambit,252
2017-12-04,12,fnatic,242
2017-12-04,13,Renegades,225
2017-12-04,14,Envy,213
2017-12-04,15,Natus Vincere,212
2017-12-04,16,OpTic,188
2017-12-04,17,Heroic,159
2017-12-04,18,Space Soldiers,135
2017-12-04,19,AGO,133
2017-12-04,20,BIG,117
2017-12-04,21,100 Thieves,99
2017-12-04,22,HellRaisers,96
2017-12-04,23,Misfits,94
2017-12-04,24,Luminosity,81
2017-12-04,25,Vega Squadron,70
2017-12-04,26,NRG,65
2017-12-04,27,Unemployed for Christmas,63
2017-12-04,28,GODSENT,60
2017-12-04,29,compLexity,59
2017-12-04,30,Kinguin,58
2017-11-27,1,SK,975
2017-11-27,2,FaZe,903
2017-11-27,3,Astralis,732
2017-11-27,4,NiP,594
2017-11-27,5,G2,571
2017-11-27,6,Cloud9,494
2017-11-27,7,North,476
2017-11-27,8,Virtus.pro,371
2017-11-27,9,Gambit,272
2017-11-27,10,Liquid,269
2017-11-27,11,mousesports,253
2017-11-27,12,fnatic,234
2017-11-27,13,Envy,224
2017-11-27,14,Renegades,224
2017-11-27,15,OpTic,189
2017-11-27,16,Natus Vincere,176
2017-11-27,17,Heroic,158
2017-11-27,18,100 Thieves,133
2017-11-27,19,Space Soldiers,132
2017-11-27,20,AGO,128
2017-11-27,21,BIG,111
2017-11-27,22,HellRaisers,98
2017-11-27,23,Misfits,94
2017-11-27,24,CLG,84
2017-11-27,25,Luminosity,78
2017-11-27,26,Vega Squadron,69
2017-11-27,27,LDLC,68
2017-11-27,28,NRG,65
2017-11-27,29,compLexity,58
2017-11-27,30,GODSENT,56
2017-11-20,1,FaZe,971
2017-11-20,2,SK,885
2017-11-20,3,Astralis,705
2017-11-20,4,NiP,690
2017-11-20,5,G2,666
2017-11-20,6,Cloud9,590
2017-11-20,7,North,515
2017-11-20,8,Virtus.pro,464
2017-11-20,9,Gambit,326
2017-11-20,10,Liquid,315
2017-11-20,11,mousesports,277
2017-11-20,12,Renegades,262
2017-11-20,13,fnatic,253
2017-11-20,14,Envy,252
2017-11-20,15,OpTic,225
2017-11-20,16,Heroic,200
2017-11-20,17,Natus Vincere,181
2017-11-20,18,100 Thieves,153
2017-11-20,19,Space Soldiers,142
2017-11-20,20,BIG,133
2017-11-20,21,AGO,111
2017-11-20,22,CLG,105
2017-11-20,23,Misfits,105
2017-11-20,24,HellRaisers,103
2017-11-20,25,LDLC,84
2017-11-20,26,Luminosity,81
2017-11-20,27,NRG,76
2017-11-20,28,Vega Squadron,62
2017-11-20,29,compLexity,58
2017-11-20,30,Seed,57
2017-11-13,1,SK,916
2017-11-13,2,FaZe,900
2017-11-13,3,Astralis,794
2017-11-13,4,G2,792
2017-11-13,5,North,597
2017-11-13,6,Virtus.pro,569
2017-11-13,7,Cloud9,568
2017-11-13,8,Liquid,356
2017-11-13,9,NiP,347
2017-11-13,10,Gambit,317
2017-11-13,11,mousesports,313
2017-11-13,12,fnatic,301
2017-11-13,13,Envy,279
2017-11-13,14,Renegades,261
2017-11-13,15,Heroic,239
2017-11-13,16,Natus Vincere,212
2017-11-13,17,100 Thieves,201
2017-11-13,18,Space Soldiers,182
2017-11-13,19,OpTic,165
2017-11-13,20,BIG,153
2017-11-13,21,HellRaisers,134
2017-11-13,22,Misfits,129
2017-11-13,23,CLG,123
2017-11-13,24,AGO,123
2017-11-13,25,LDLC,114
2017-11-13,26,Luminosity,107
2017-11-13,27,NRG,96
2017-11-13,28,Vega Squadron,75
2017-11-13,29,compLexity,65
2017-11-13,30,Kinguin,64
2017-11-06,1,FaZe,876
2017-11-06,2,SK,867
2017-11-06,3,G2,742
2017-11-06,4,Astralis,733
2017-11-06,5,North,566
2017-11-06,6,Virtus.pro,507
2017-11-06,7,Cloud9,483
2017-11-06,8,Liquid,427
2017-11-06,9,NiP,316
2017-11-06,10,Gambit,301
2017-11-06,11,fnatic,276
2017-11-06,12,mousesports,269
2017-11-06,13,Envy,235
2017-11-06,14,Heroic,211
2017-11-06,15,Natus Vincere,199
2017-11-06,16,100 Thieves,191
2017-11-06,17,Renegades,184
2017-11-06,18,BIG,156
2017-11-06,19,Space Soldiers,154
2017-11-06,20,CLG,117
2017-11-06,21,LDLC,107
2017-11-06,22,Misfits,106
2017-11-06,23,HellRaisers,101
2017-11-06,24,OpTic,98
2017-11-06,25,AGO,90
2017-11-06,26,Luminosity,83
2017-11-06,27,Vega Squadron,72
2017-11-06,28,FlipSid3,60
2017-11-06,29,NRG,55
2017-11-06,30,Kinguin,53
2017-10-30,1,SK,881
2017-10-30,2,FaZe,873
2017-10-30,3,G2,761
2017-10-30,4,Astralis,734
2017-10-30,5,North,588
2017-10-30,6,Virtus.pro,476
2017-10-30,7,Cloud9,472
2017-10-30,8,Liquid,420
2017-10-30,9,NiP,302
2017-10-30,10,Gambit,298
2017-10-30,11,mousesports,297
2017-10-30,12,fnatic,268
2017-10-30,13,100 Thieves,212
2017-10-30,14,Envy,202
2017-10-30,15,Natus Vincere,201
2017-10-30,16,Heroic,200
2017-10-30,17,BIG,163
2017-10-30,18,Renegades,118
2017-10-30,19,CLG,113
2017-10-30,20,Space Soldiers,109
2017-10-30,21,Luminosity,90
2017-10-30,22,OpTic,75
2017-10-30,23,LDLC,74
2017-10-30,24,AGO,71
2017-10-30,25,Vega Squadron,70
2017-10-30,26,FlipSid3,57
2017-10-30,27,HellRaisers,55
2017-10-30,28,NRG,55
2017-10-30,29,Kinguin,52
2017-10-30,30,AVANGAR,52
2017-10-23,1,FaZe,991
2017-10-23,2,Astralis,797
2017-10-23,3,SK,756
2017-10-23,4,North,734
2017-10-23,5,G2,702
2017-10-23,6,Cloud9,557
2017-10-23,7,Gambit,516
